"","region","item","avg_RPR","min_RPR","max_RPR","crop"
"47","reg8","Wheat",1.46496542968274,1.39298688186057,1.60181534637528,"Wheat"
"48","reg9","Barley",0.631200825792077,0.631200825792077,0.631200825792077,"OtherGrain"
"49","reg9","Maize (corn)",2.18295709600812,2.16085551428512,2.19577326075946,"Corn"
"50","reg9","Rice",1.67549833859017,1.66532075719372,1.68719934729126,"Rice"
"51","reg9","Beans, dry",3.38168276542386,3.34566665617396,3.40942008817137,"Soybean"
"52","reg9","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"53","reg9","Wheat",2.03486994967397,2.02624239373366,2.04071692015647,"Wheat"
"54","reg10","Barley",0.862217625146946,0.769330632037577,0.918725808833452,"OtherGrain"
"55","reg10","Maize (corn)",1.34251684316815,1.2683314754972,1.37616720904226,"Corn"
"56","reg10","Rice",1.52384263529269,1.49236846545175,1.5845342364589,"Rice"
"57","reg10","Beans, dry",3.10001990991998,3.05936859331879,3.16195259401778,"Soybean"
"58","reg10","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"59","reg10","Wheat",1.79312819827052,1.76056074537553,1.82367612364785,"Wheat"
"60","reg11","Barley",0.25797389376769,0.247032295185515,0.264897796449609,"OtherGrain"
"61","reg11","Maize (corn)",1.3769144983913,1.35530325214702,1.38933835693727,"Corn"
"62","reg11","Rice",1.35132635983857,1.34575880943982,1.35623329957939,"Rice"
"63","reg11","Beans, dry",2.82441145934938,2.81771049986919,2.8274071088491,"Soybean"
"64","reg11","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"65","reg11","Wheat",1.05000050314218,1.03778608279712,1.06797707779382,"Wheat"
"66","reg12","Barley",0.533452959359875,0.421456714332073,0.627131393581678,"OtherGrain"
"67","reg12","Maize (corn)",1.75790388946913,1.73166406177633,1.80654436820043,"Corn"
"68","reg12","Rice",1.67286955343707,1.66031679505719,1.68365870250245,"Rice"
"69","reg12","Beans, dry",3.150571383025,3.04011418545715,3.46202222252593,"Soybean"
"70","reg12","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"71","reg12","Wheat",1.56343370085715,1.46919418580594,1.67634575341027,"Wheat"
"72","reg13","Barley",0.207945815920431,0.191765293612115,0.23759435561259,"OtherGrain"
"73","reg13","Maize (corn)",1.46442259942175,1.31459233485757,1.68103089925816,"Corn"
"74","reg13","Rice",1.60184375585466,1.52504771362681,1.73792348941934,"Rice"
"75","reg13","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"76","reg13","Wheat",1.16714746220172,1.12691951481982,1.20304587863894,"Wheat"
"77","reg14","Barley",0.141114440192846,0.125908744453931,0.175009248569403,"OtherGrain"
"78","reg14","Maize (corn)",0.993613635919044,0.903965577053042,1.11116551894959,"Corn"
"79","reg14","Rice",1.41711047538741,1.37352316721788,1.49151257322285,"Rice"
"80","reg14","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"81","reg14","Wheat",0.97934685042629,0.933297435038777,1.01020428290868,"Wheat"
"82","reg15","Barley",0.33288190549951,0.290086463332102,0.37332869869893,"OtherGrain"
"83","reg15","Maize (corn)",1.31590916316062,1.20062738898256,1.49256096041419,"Corn"
"84","reg15","Rice",1.61136855085313,1.55423649423129,1.69094378303105,"Rice"
"85","reg15","Beans, dry",2.54119474398867,2.48566211060927,2.69076758423985,"Soybean"
"86","reg15","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"87","reg15","Wheat",1.29064061208233,1.23052036340418,1.3456704859877,"Wheat"
"88","reg16","Barley",0.208708651837126,0.15948031815581,0.348508545266548,"OtherGrain"
"89","reg16","Maize (corn)",0.990375265143763,0.855406257105813,1.18236814704884,"Corn"
"90","reg16","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"91","reg16","Wheat",1.14913059619463,1.0612296539017,1.29885021943495,"Wheat"
"92","reg17","Barley",0.188441069864527,0.135530603563168,0.240196466722702,"OtherGrain"
"93","reg17","Maize (corn)",1.32183983985712,1.18166692496863,1.54629772449759,"Corn"
"94","reg17","Beans, dry",2.9011394314701,2.68280865059345,2.98917839854654,"Soybean"
"95","reg17","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"96","reg17","Wheat",1.14887260861245,1.0539762597834,1.22838920364524,"Wheat"
"97","reg18","Barley",0.43520030458969,0.409888461604312,0.463032422123835,"OtherGrain"
"98","reg18","Maize (corn)",1.90247205065953,1.84355639891464,1.94875933497204,"Corn"
"99","reg18","Rice",1.72359879233375,1.70406202016741,1.73972877485556,"Rice"
"100","reg18","Beans, dry",3.59306303805534,3.59215490934032,3.59400965837407,"Soybean"
"101","reg18","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"102","reg18","Wheat",1.39778620713264,1.39300457290631,1.41036068630557,"Wheat"
"103","reg19","Maize (corn)",1.24291934815062,1.15466323682924,1.41057797481281,"Corn"
"104","reg19","Rice",1.58321317686352,1.57165817519358,1.59446335416898,"Rice"
"105","reg19","Beans, dry",3.15480553069789,3.13474137828908,3.17585305729053,"Soybean"
"106","reg19","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"107","reg20","Barley",0.308101310786971,0.294226852757187,0.330183340619713,"OtherGrain"
"108","reg20","Maize (corn)",2.01504426866633,2.01462088564323,2.0155963997181,"Corn"
"109","reg20","Rice",1.37257509438513,1.36223893867785,1.3802187823756,"Rice"
"110","reg20","Beans, dry",2.87104420069056,2.5978533664452,3.13831451053693,"Soybean"
"111","reg20","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"112","reg20","Wheat",1.20401377559895,1.15884900744699,1.25306904427452,"Wheat"
"113","reg21","Barley",0.445026430718764,0.41642737548517,0.48692985500922,"OtherGrain"
"114","reg21","Maize (corn)",1.76178127005096,1.70903644905326,1.78980134207768,"Corn"
"115","reg21","Rice",1.42352698042555,1.37570458393884,1.45410301292643,"Rice"
"116","reg21","Beans, dry",3.3811263369174,3.26678746601936,3.43629781651105,"Soybean"
"117","reg21","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"118","reg21","Wheat",1.04313563987631,0.992931477921533,1.11060807158408,"Wheat"
"119","reg22","Barley",0.682833945933954,0.622450822630115,0.756419228916741,"OtherGrain"
"120","reg22","Maize (corn)",1.51594582848315,1.50080015865414,1.53240173755379,"Corn"
"121","reg22","Rice",1.63323391461623,1.57599285130882,1.66810721779776,"Rice"
"122","reg22","Beans, dry",2.74900843028716,2.72753686552649,2.77239249093047,"Soybean"
"123","reg22","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"124","reg22","Wheat",1.61840592418579,1.59378015556692,1.65462759415149,"Wheat"
"125","reg23","Barley",1.11652665076324,1.07751212823801,1.13629253327899,"OtherGrain"
"126","reg23","Maize (corn)",1.43023122174163,1.37546991846264,1.48970666524671,"Corn"
"127","reg23","Rice",1.77570022197167,1.74051809483207,1.80074924326973,"Rice"
"128","reg23","Beans, dry",3.37557888055568,3.31210611551496,3.46516647325902,"Soybean"
